inlf	horas_esposa	hijos	edad_esposa	educ_esposa	horas_esposo	edad_esposo	educ_esposo	ingreso	exper_esposa	d_hijo6	salario_esposa	salario_esposo	Tipo_empleo	Dpto_residencia
1	800	0	45	12	1150	53	17	608000	15	0	12350	30267.76	2	3
1	1955	1	31	12	2024	31	12	624350	4	1	8187.1001	15535.92	2	1
1	660	0	43	17	1904	43	17	1492500	21	0	14394.02	53887.801	2	2
1	525	0	59	12	2448	53	16	905000	31	0	15200	24836.42	1	3
1	1904	0	32	12	2000	33	13	1300000	9	0	17962.221	32300	2	3
1	1516	1	31	17	2390	30	17	1305000	7	1	27572.42	23849.559	1	3
1	346	0	42	12	1920	47	10	886500	7	0	22294.979	19791.541	2	2
1	1040	0	50	11	1840	53	10	335950	32	0	5846.2998	10571.979	1	3
1	732	0	59	16	3360	57	17	927500	11	0	9344.2002	18660.66	1	1
1	1880	0	36	13	2284	35	13	1230000	16	0	22234.18	22294.221	1	3
1	1680	0	51	12	1875	50	8	1155000	14	0	13571.319	28576	1	1
1	2081	0	45	16	2140	47	17	1232800	27	0	14465.84	28670.619	1	3
1	690	0	42	11	1896	44	8	794850	0	0	9362.4395	21044.4	1	2
1	4210	0	46	12	1040	49	16	1016000	17	0	9026.1396	26307.779	1	1
1	2205	0	46	10	2200	52	12	1069200	28	0	17233.381	19000	1	2
1	1952	0	51	14	1952	58	12	1278050	24	0	21349.539	27764.318	1	1
1	1302	0	30	17	1560	30	17	1827500	11	0	55597.797	42628.402	1	1
1	112	1	30	12	4030	33	16	790500	1	1	10178.681	14615.56	1	2
1	893	0	57	12	2570	58	12	1275000	14	0	14893.72	22179.08	1	2
1	583	1	31	16	1530	34	16	1200000	6	1	9777.0205	52155	2	2
1	480	0	48	12	3149	48	8	1108600	10	0	17242.5	24127.34	2	2
1	1900	0	30	12	2690	32	12	896500	6	0	7600	19960.641	2	3
1	576	0	34	12	3096	33	12	350000	4	0	13194.359	4968.5	2	3
1	2056	0	48	16	2552	53	16	1265000	10	0	7661.1797	10639.239	1	1
1	1984	0	45	12	2040	47	11	810600	22	0	17372.08	10245.18	2	3
1	2640	0	51	12	2180	50	13	1132500	16	0	8636.2607	28761.439	1	2
1	240	0	30	12	1864	37	12	349250	6	0	10022.5	12949.26	2	1
1	1173	0	46	12	2068	46	12	1500000	12	0	8701.6201	24852.381	1	2
1	3640	0	58	12	2010	58	12	925000	32	0	4175.8198	27412.82	2	3
1	340	0	37	12	2152	40	10	832900	15	0	4470.6997	23838.16	2	2
1	500	0	52	8	1496	54	11	515000	17	0	6080	22353.121	2	3
1	1599	0	52	10	2100	47	4	550000	34	0	7129.5601	14476.1	2	3
1	1830	0	31	16	1960	35	14	995000	9	0	15366.061	24234.881	2	1
1	1920	0	55	14	1985	55	15	1625000	37	0	36614.52	22972.141	2	1
1	2052	0	34	17	2020	33	17	1865000	10	0	30555.42	33485.219	2	3
1	2312	0	55	14	2178	56	16	1500900	35	0	17476.199	33730.699	2	2
1	196	0	39	12	3684	39	12	640350	6	0	8143.02	12699.6	2	1
1	2500	0	40	14	5010	42	13	1975000	19	0	16720	12097.68	2	1
1	1980	0	43	12	1880	47	12	1102500	10	0	13434.52	26276.619	2	2
1	1840	0	48	8	1904	56	8	775000	11	0	10326.12	20955.859	2	3
1	320	0	47	12	2083	47	12	690500	15	0	23750	20067.039	1	1
1	419	0	41	12	2125	44	12	597500	12	0	45345.398	12160	1	1
1	1880	0	36	8	1985	37	12	958750	12	0	13653.78	22340.58	1	2
1	72	0	46	17	2640	48	17	895000	14	0	26388.719	23750	1	1
1	120	0	34	12	2070	51	8	792500	11	0	11083.46	28454.02	1	1
1	1885	0	41	12	2107	48	8	1350850	9	0	11692.22	26511.459	1	2
1	240	0	51	12	2250	54	10	945000	24	0	14250	30400	1	1
1	1729	0	33	12	2880	34	16	1090000	12	0	21758.42	15701.22	1	2
1	1850	0	52	12	1848	53	12	1677600	13	0	13967.66	55008.801	1	2
1	2033	0	58	9	1927	53	7	1132500	29	0	19626.24	21790.34	1	3
1	608	2	34	10	1304	38	9	760000	11	1	31250.059	12821.96	1	1
1	1153	0	31	12	3000	35	12	656000	13	0	16478.701	6966.54	1	1
1	2208	0	48	12	1892	52	12	1083000	19	0	18931.221	21289.5	2	1
1	252	0	32	12	3644	32	12	909500	2	0	1356.98	16330.501	2	2
1	337	0	49	17	1430	47	17	480000	24	0	11276.12	14881.18	2	3
1	90	2	32	15	2350	31	14	687750	9	1	3800	18539.059	2	1
1	1174	0	58	12	1948	59	16	1767500	6	0	9710.5195	35112.762	2	3
1	372	0	50	6	1804	42	12	620250	22	0	3268.76	25277.219	2	2
1	30	0	60	14	2326	51	12	609000	30	0	3800	17562.459	2	3
1	1800	0	50	12	1739	55	11	1148100	10	0	11119.18	37901.582	2	3
1	282	0	56	14	1176	57	17	1285000	6	0	13475.18	79488.398	2	1
1	720	0	51	9	1100	55	8	165250	29	0	6180.3198	7372	2	2
1	1440	0	54	17	1528	58	17	1647500	29	0	31666.539	33573.379	2	1
1	2100	0	59	13	2250	52	15	850000	36	0	11761.76	17733.459	1	2
1	1000	0	46	9	1927	47	10	662500	19	0	10260	19719.721	2	1
1	952	0	46	15	2414	47	16	2537500	8	0	19957.98	71151.203	2	3
1	1413	1	39	12	768	49	8	781600	13	1	5378.52	39584.598	2	1
1	2100	0	44	12	1984	43	14	1415800	16	0	18234.682	33614.043	2	2
1	120	2	33	12	2246	36	12	864500	11	1	6333.46	28762.199	2	2
1	3000	1	33	12	3024	30	17	1680000	15	1	4262.46	16912.66	2	2
1	1000	0	48	12	2921	52	12	1460000	6	0	1900	35417.52	2	1
1	336	0	31	12	2045	37	17	993500	13	0	2714.3398	34841.063	2	3
1	1216	0	45	12	1928	44	12	811250	22	0	10625.18	24636.92	2	3
1	988	0	45	12	1920	44	10	1430000	24	0	18461.541	29687.5	2	2
1	2581	0	32	13	2280	37	17	1540000	2	0	6625.2998	43335.199	2	1
1	2030	0	47	12	2300	47	17	1285000	6	0	9359.7803	19330.6	1	1
1	413	0	34	13	2480	35	13	1350000	2	0	9200.9395	26508.041	1	1
1	782	0	37	12	1135	34	10	603850	2	0	5831.1001	20087.941	1	3
1	1388	0	36	12	1384	39	12	1480600	14	0	10950.84	43935.602	1	3
1	1450	1	47	12	1848	50	14	1223950	9	1	9146.2197	32703.18	1	3
1	1720	0	48	16	2499	46	17	3987500	11	0	19883.881	48659	1	3
1	800	0	42	12	2390	43	12	1002500	9	0	14250	25439.48	1	2
1	360	0	33	13	2400	44	14	1075000	6	0	5277.8203	31666.539	1	2
1	2000	0	46	11	1920	53	8	806000	19	0	15200	15833.46	1	2
1	1176	0	47	12	2301	48	13	1234300	26	0	12278.94	20808.42	1	3
1	2058	0	44	12	1944	43	10	1233450	19	0	12925.32	19547.201	2	2
1	900	0	36	12	2100	37	17	1320000	3	0	5066.54	44334.598	2	2
1	215	2	31	17	1920	32	16	812250	7	1	35348.742	27708.459	2	3
1	2000	0	55	14	2880	55	14	1165000	28	0	17100	18472.182	2	2
1	757	0	45	16	1932	48	16	1360000	13	0	17569.299	46223.199	2	2
1	1264	0	47	17	3234	48	17	2550000	9	0	15031.66	41127.398	2	3
1	2064	0	46	12	2805	47	12	2750000	15	0	22093.201	47416.398	2	2
1	1280	0	49	11	2272	52	9	769450	20	0	1900	23415.602	2	2
1	1715	0	49	12	2227	52	14	1157500	29	0	15510.081	27301.48	2	2
1	2000	0	45	12	1720	49	6	1488700	9	0	22800	26953.4	1	3
1	12	1	38	17	2300	38	13	4552200	1	1	13933.46	67738.805	1	1
1	1528	0	47	10	3410	50	12	1410000	8	0	14672.94	24293.4	1	2
1	561	0	54	13	2304	57	16	1807500	19	0	10499.021	44532.199	1	2
1	2058	0	41	11	1984	42	12	782600	23	0	11137.8	18195.541	2	3
1	1823	0	43	12	1890	33	14	945000	3	0	16675.92	16084.64	2	3
1	1680	1	31	16	1970	32	12	1180000	13	1	20583.459	27005.08	2	1
1	1440	0	47	17	2400	46	12	1810000	8	0	37472.18	31666.539	1	2
1	4950	0	35	12	2504	37	12	935000	17	0	614.07996	26557.439	1	1
1	1176	0	45	16	2398	48	17	1206250	4	0	1453.88	36446.941	1	1
1	1100	1	33	12	1960	39	12	790000	15	1	13818.32	22877.52	2	1
1	1516	0	54	16	2550	55	12	987100	11	0	9023.8604	11280.68	2	2
1	900	0	35	8	2500	41	12	1130000	7	0	17733.459	26600	2	1
1	1080	1	31	12	2164	37	10	875000	0	1	7037.2197	27218.26	1	3
1	480	0	55	12	2640	60	12	991000	0	0	19760	17998.32	1	2
1	288	0	34	12	1936	36	12	1007750	10	0	12534.68	33367.801	1	2
1	1875	0	38	13	2136	41	12	1865000	8	0	32426.541	37359.699	2	3
1	630	0	45	11	1955	51	10	1243000	2	0	7841.2998	25268.48	2	1
1	234	0	47	12	1980	48	10	1072500	4	0	9743.5801	37424.301	2	1
1	1600	0	39	12	2550	42	11	1482500	6	0	8312.5	37254.82	1	3
1	960	1	36	14	2058	37	13	1150000	18	1	23750	31389.52	1	1
1	120	1	33	12	2263	32	14	1056000	3	1	12666.54	34456.883	1	1
1	2025	0	50	12	1763	54	13	1300000	22	0	16888.719	32331.158	1	2
1	1809	0	58	12	2096	59	14	1400000	33	0	25207.301	27194.699	1	1
1	3087	0	49	17	2059	47	13	2275000	28	0	32005.121	26760.74	1	2
1	910	0	41	14	1820	40	17	800000	23	0	16703.279	25054.92	2	3
1	1840	0	51	12	2832	53	8	911600	27	0	9293.6602	16513.66	2	2
1	784	0	53	9	1990	60	10	1408000	11	0	4653.0996	27497.559	2	1
1	400	1	36	12	2000	40	7	298250	6	1	6175	6612	2	3
1	1000	0	46	12	1885	46	12	950000	11	0	11400	26207.08	2	3
1	1904	0	36	12	2860	37	12	1843600	14	0	17962.221	19172.898	1	2
1	1771	0	53	14	1913	48	16	2100000	17	0	4291.3398	65550	2	1
1	1486	0	40	16	1800	54	16	1345000	17	0	28129.119	31666.539	1	3
1	740	0	42	17	2880	45	16	1540000	14	0	16946.1	35625	2	2
1	1820	1	33	15	1993	32	16	1076000	11	1	9395.5	31460.201	1	1
1	1275	0	43	12	2250	47	14	1239750	7	0	7153.1201	17100	2	3
1	450	1	31	16	2286	30	16	645000	8	1	15200	15958.101	1	1
1	1221	0	47	17	1880	47	16	2135000	6	0	31121.998	61043.195	2	1
1	1550	0	54	17	2350	58	17	1940000	8	0	26967.84	42852.602	1	2
1	180	1	33	12	3640	33	11	125000	4	1	6333.46	2087.72	2	3
1	2090	0	43	16	1770	47	14	1346050	25	0	13091	36282.402	1	1
1	1960	0	46	13	1875	49	13	915000	24	0	16091.86	20266.541	2	2
1	1440	0	35	12	2200	38	9	860000	11	0	10555.641	20727.102	1	2
1	794	0	37	11	2033	39	12	710450	19	0	7178.96	22429.879	2	2
1	993	0	37	16	2739	39	17	1615000	9	0	19133.76	37458.879	2	3
1	160	0	34	14	1626	38	14	1070000	19	0	4750	44403	2	3
1	105	1	43	16	2248	44	17	735000	14	1	10856.98	23665.639	2	2
1	1200	0	46	12	2140	48	12	1275800	22	0	15643.461	34864.238	2	2
1	450	0	35	9	1985	42	12	665000	6	0	6755.6396	23929.361	2	2
1	996	0	46	17	1528	59	17	1550000	23	0	51505.199	39789.801	2	1
1	1052	0	46	14	1920	48	16	2440000	15	0	17338.26	55415.402	2	3
1	1128	0	43	12	1918	46	10	775950	6	0	8085.2603	23614.34	2	2
1	1840	0	30	12	2112	30	12	975000	11	0	11358.58	25189.439	2	1
1	1910	0	41	11	2144	46	9	727250	2	0	9748.5195	14533.479	2	2
1	980	0	54	12	1920	54	15	1144850	22	0	21326.359	29687.5	2	3
1	2317	0	31	12	2241	41	9	715000	10	0	10660.52	13226.28	2	3
1	1089	0	44	10	880	47	11	744200	14	0	6106.6001	21090	1	1
1	800	0	32	12	2070	31	16	1370000	12	0	8550	44057.199	1	3
1	1230	0	47	5	1050	53	5	820000	9	0	7723.5	36190.441	1	1
1	1158	0	46	17	2635	57	17	1285200	13	0	21021.6	27665.9	1	2
1	2272	0	37	11	3000	47	8	640000	18	0	6021.0996	11400	1	3
1	528	0	51	12	2500	50	11	2000000	8	0	14394.02	39520	1	3
1	1000	0	49	12	1990	49	12	2350000	11	0	11400	38190	1	2
1	520	0	36	14	2390	37	13	1293600	9	0	32884.441	33389.082	1	1
1	760	0	39	11	1430	44	12	1343400	9	0	15999.899	38532	1	2
1	1920	0	48	12	1800	50	8	900000	14	0	17812.5	19000	1	3
1	1220	0	38	14	2103	43	17	1510000	9	0	15573.921	45174.398	1	2
1	200	0	40	12	1350	42	12	1311000	2	0	95000	50665.402	1	1
1	2480	1	39	10	2880	36	17	2025000	12	1	10005.78	32986.281	2	2
1	2750	0	37	16	2400	43	17	1678500	15	0	22800	27708.459	2	2
1	2014	0	49	13	1135	47	12	845850	11	0	20567.881	13391.96	2	3
1	1355	0	33	12	2750	35	17	900000	7	0	2523.96	23490.84	2	3
1	80	0	30	12	2085	32	16	416850	9	0	4750	11306.9	2	2
1	1670	0	54	12	2600	56	8	855000	19	0	8646.5195	17392.221	1	3
1	520	0	39	11	3542	40	12	890000	11	0	13153.7	11801.28	1	1
1	288	0	43	12	1975	43	12	687000	8	0	15833.46	22126.641	1	3
1	2014	0	31	9	2400	32	12	1350000	13	0	16981.061	28500	1	3
1	800	0	33	13	3000	37	14	1630000	4	0	6650	31666.539	1	2
1	1984	0	40	12	1960	39	14	1401500	7	0	13943.72	35091.859	1	1
1	1823	0	36	12	2000	39	9	1155000	19	0	25013.881	20900	1	1
1	1500	0	51	12	3000	51	12	1229000	14	0	9880	22800	2	3
1	2261	0	44	13	2400	43	12	1450000	14	0	18487.379	25333.459	2	1
1	1728	0	42	16	2450	48	14	2121500	3	0	21990.602	49631.801	1	2
1	1960	0	40	12	2423	40	8	2090000	9	0	17255.041	48617.199	1	3
1	1578	1	34	16	2000	33	16	1955000	7	1	36121.66	45600	1	1
1	1316	0	30	17	2526	41	16	1590000	7	0	40424.398	25574	1	2
1	1530	0	54	12	2695	53	12	1110000	14	0	4222.1797	25380.199	1	2
1	2220	0	51	12	2048	54	12	975000	29	0	15405.58	16699.1	2	2
1	1336	0	44	9	1920	46	11	701350	19	0	10210.979	17812.5	2	2
1	1008	0	43	12	2338	42	9	1059750	14	0	11309.561	29255.82	2	1
1	1944	0	34	12	2945	37	8	950650	16	0	12056.641	16449.061	2	1
1	2000	0	45	13	2047	52	12	1045000	10	0	13490	25618.08	2	2
1	258	0	39	12	1668	47	7	1341000	12	0	68046.602	35539.5	1	3
1	1785	0	50	12	175	48	10	640000	24	0	12986.119	34743.023	1	2
1	480	0	52	12	1798	53	12	392500	6	0	12666.54	10038.84	1	3
1	772	0	41	12	1222	45	12	930000	9	0	14766.8	27987	1	1
1	900	0	59	10	1820	59	7	269000	14	0	8782.1797	5345.0801	1	3
1	1428	0	52	12	1560	60	8	305700	26	0	6501.04	5772.96	1	1
1	210	0	46	16	2210	49	12	411700	7	0	8034.3398	12706.82	1	3
1	239	1	41	12	2874	48	16	1032300	4	1	37745.777	11060.28	1	2
1	1878	0	33	11	2499	35	8	832000	15	0	11505.26	16656.92	1	3
1	215	0	45	12	3088	38	12	695000	23	0	7069.8999	15997.239	1	3
1	2340	1	36	10	2020	37	8	575000	1	1	487.15997	14109.02	1	2
1	1960	0	48	12	1980	56	10	1700000	29	0	25204.26	40302.801	1	3
1	532	0	47	12	1968	47	11	1435000	9	0	21428.58	32825.16	1	1
1	394	0	45	12	2100	45	12	478150	6	0	6076.1997	14579.46	2	3
1	675	0	37	12	2651	48	17	1048000	11	0	10133.46	27234.98	1	1
1	1515	0	46	16	1918	49	14	1929500	17	0	30099.041	33680.922	2	1
1	1030	0	43	17	2585	46	16	1395000	6	0	20291.24	29400.219	2	1
1	1250	0	42	12	2250	46	17	1281650	7	0	15200	34846.762	1	3
1	1158	1	34	17	2480	39	17	1760000	2	1	22970.619	42902	1	2
1	112	0	52	12	2924	53	12	1475000	24	0	23750	24042.221	1	1
1	336	0	37	12	1896	52	9	500000	4	0	11309.561	18037.84	1	3
1	1984	0	37	12	2332	40	12	990000	11	0	16088.82	18576.301	1	2
1	716	0	52	8	3482	59	7	645000	25	0	13268.08	9439.96	2	3
1	1410	1	30	12	2106	30	14	1304000	11	1	18865.1	32478.6	1	3
1	1300	0	31	13	1160	32	12	653300	2	0	10522.96	25224.02	1	3
1	1640	0	38	12	2040	46	12	625000	19	0	13902.3	12107.94	1	2
1	1202	0	43	12	2856	48	16	1780000	7	0	20495.299	17277.08	1	1
1	489	0	49	8	950	51	8	971200	2	0	2494.3201	48598.199	2	3
1	2076	0	55	12	2068	58	10	1312500	20	0	18121.439	24806.4	1	3
1	526	0	38	17	1896	42	17	1826250	10	0	32509.381	62331.398	1	3
1	1721	0	52	17	2000	56	16	1735000	19	0	39744.199	26600	1	1
1	1327	0	48	12	288	51	11	415550	17	0	10022.5	51459.598	1	2
1	584	0	32	13	2160	33	12	1431300	12	0	26027.34	25509.398	1	1
1	1376	0	32	12	3120	33	17	1220000	11	0	19331.361	20705.061		1
1	1040	0	38	12	1944	41	17	701250	6	0	3653.7	25411.359	1	3
1	548	0	46	12	2046	47	12	1068350	10	0	16365.08	34558.34	1	3
1	15	0	40	12	2005	42	9	706800	4	0	26853.459	24828.061	1	2
1	1980	0	31	9	2070	36	10	995000	2	0	9596.1396	17806.799	1	1
1	1520	0	43	10	3000	50	12	1850000	13	0	29999.859	30400	1	1
1	1880	0	51	12	2640	51	12	925000	21	0	15765.82	15401.399	1	1
1	1260	1	30	16	2450	34	17	1727500	9	1	31063.479	31020.539	1	1
1	1092	0	52	13	1000	53	15	2481000	4	0	36468.98	62700	1	2
1	1587	1	30	8	2080	33	8	520000	2	1	7662.3203	13153.7	1	2
1	156	0	51	16	2413	51	16	1650000	19	0	28962.84	43171.801	1	3
1	1939	0	31	13	2570	31	12	810000	4	0	12150.5	14786.18	1	1
1	1250	0	34	12	2030	52	12	1133000	9	0	6080	36502.418	1	1
1	610	0	49	11	4684	59	17	800000	14	0	15573.921	10141.06	1	1
1	270	1	35	13	2802	41	17	1289000	6	1	5629.7002	33768.703	1	3
1	660	1	53	12	2090	59	12	1033750	24	1	13818.32	24181.68	1	1
1	1000	0	32	12	2053	46	16	2010650	1	0	3800	67366.406	1	3
1	1920	0	38	10	1984	42	10	775000	13	0	9895.96	20110.74	1	2
1	200	0	54	12	2040	54	16	1760350	3	0	6650	59606.801	1	3
1	1500	0	47	17	2794	58	8	1785100	10	0	18240	19920.74	1	1
1	868	0	45	15	3290	47	14	890000	16	0	21014	11550.1	1	2
1	2318	0	47	16	1911	46	16	2545000	9	0	15573.921	63631.004	1	2
1	2000	0	59	10	2000	60	12	864000	19	0	4750	14250	1	3
1	60	0	32	11	2580	31	12	757500	4	0	6333.46	22093.201	1	1
1	1715	0	45	12	2400	49	17	1810000	10	0	14402.381	41165.402	2	2
1	550	0	40	12	1740	47	12	873250	5	0	8981.6797	34211.02	2	2
1	1960	0	47	14	2500	50	12	2260250	7	0	38775.203	24852	1	2
1	44	1	36	16	1840	37	17	725000	3	1	25909.16	22717.541	1	2
1	1920	0	56	14	2036	56	14	1600550	38	0	27415.48	32774.238	2	3
1	2540	0	41	8	3536	43	11	1760000	16	0	9303.9199	18365.02	2	2
1	156	0	48	7	880	51	11	678950	13	0	4555.0596	41454.203	2	2
1	780	1	36	12	2007	38	12	522750	1	1	6235.8003	14768.32	2	1
1	3120	0	41	12	2632	44	13	1630000	7	0	6771.98	32138.121	2	3
1	2040	0	41	14	2600	43	12	957500	15	0	11176.561	19000	2	1
1	1610	0	36	12	2156	36	13	1220000	10	0	18881.82	28200.559	2	2
1	215	0	37	12	3625	41	12	1085000	2	0	7069.8999	17076.441	1	1
1	1120	0	38	12	2420	42	12	1310050	19	0	30535.66	26695.76	2	3
1	846	0	43	14	2080	43	9	596000	25	0	15092.08	12459.44	2	3
1	3225	0	54	16	3443	59	17	815000	25	0	11558.08	4887.1802	2	1
1	1376	0	38	12	2250	41	12	825000	7	0	11046.601	21111.281	2	3
1	980	1	30	12	2535	34	16	1500000	15	1	11632.56	28481.381	1	1
1	1838	0	49	12	2352	48	15	3125000	11	0	18607.08	84014.195	1	3
1	1494	0	45	13	3036	49	6	2925000	25	0	15261.18	34420.398	2	1
1	450	0	51	13	2600	57	14	2045000	19	0	21111.281	43844.402	2	3
1	1976	0	34	10	2223	39	7	815400	4	0	4646.2598	22977.84	2	2
1	2012	0	34	12	2666	34	10	465000	14	0	10198.82	5188.1401	2	3
1	561	0	41	12	2006	41	17	1785000	19	0	10160.44	62889.996	2	2
1	1715	0	49	12	1710	49	17	1785000	18	0	35451.719	33333.219	2	3
1	1912	0	32	12	1920	46	14	1225000	14	0	11924.779	36614.52	2	3
1	3686	0	32	14	1647	39	14	650000	11	0	2061.8799	25379.439	2	1
1	1080	0	32	17	3080	35	15	2630000	4	0	32722.182	28776.26	2	1
1	1799	0	47	10	1920	48	10	1268000	29	0	13941.06	29687.5	2	3
1	1984	0	39	9	2420	47	4	470000	21	0	8810.2998	7537.2998	2	1
1	1839	0	49	12	2205	53	15	1340000	24	0	10951.6	36190.441	1	1
1	1579	0	37	12	3035	39	14	1652000	19	0	12033.08	24415	1	2
1	96	0	59	16	2185	60	15	1317500	31	0	13854.04	41739.199	1	3
1	1920	0	50	12	1880	56	12	1950000	28	0	23750	48510.801	1	3
1	1688	0	32	17	1863	33	17	1755000	15	0	38946.199	36307.098	1	3
1	1589	0	46	12	2456	48	16	1125100	27	0	12196.479	20887.459	1	2
1	345	0	43	17	1847	46	17	1097500	13	0	29078.361	37094.84	1	3
1	1521	0	37	11	2000	42	6	650000	4	0	7495.1196	19000	2	3
1	1490	0	32	16	1856	35	14	909000	10	0	17852.4	22798.1	2	1
1	989	0	39	11	1880	43	14	1047850	8	0	8068.9199	26276.619	2	2
1	600	0	34	13	3020	35	12	685000	4	0	8866.54	18874.219	2	1
1	2646	0	39	11	2646	41	8	1000000	18	0	9080.4805	9080.4805	1	2
1	2149	0	45	8	1640	48	9	613000	3	0	4774.3198	17146.359	1	1
1	320	0	50	11	1950	54	11	1242500	11	0	4156.4399	35077.039	1	3
1	1600	0	40	12	1920	39	12	1457500	8	0	14250	43540.402	2	1
1	2419	0	30	10	2025	34	12	1179550	10	0	12567.359	29257.34	2	2
1	2005	0	57	17	2470	56	17	1235850	33	0	19513.76	15895.4	2	1
1	1960	0	39	12	1800	43	12	1522750	19	0	25204.26	31666.539	2	1
1	2147	0	53	12	1920	56	8	980000	35	0	17345.1	19395.959	1	1
1	1207	0	48	17	2039	53	17	1593750	21	0	45022.398	31262.98	1	2
1	2000	0	46	14	2570	48	16	1202750	7	0	14250	21520.92	1	2
1	1260	0	47	12	1914	54	12	939750	18	0	16587.379	19843.6	1	2
1	90	0	43	12	1516	47	10	609900	4	0	14946.54	27322	2	2
1	1800	0	47	12	2520	47	16	2632250	12	0	12666.54	52846.598	2	1
1	573	0	47	12	2327	48	12	830000	16	0	12600.42	22861.941	2	1
1	1825	0	47	12	2188	50	12	1629500	14	0	13534.08	29177.158	2	3
1	75	0	46	12	1864	48	12	501000	3	0	6080	20182.561	2	3
1	1348	0	34	9	2183	33	10	602400	1	0	8456.9004	15666.64	1	1
1	1880	0	48	10	1920	55	12	1987500	27	0	18191.359	29687.5	1	1
1	1240	0	30	12	1824	31	12	785000	12	0	22064.699	17500.141	1	2
1	848	0	51	12	2878	54	12	1212500	6	0	8962.2998	15103.48	1	2
1	150	0	52	12	2390	54	16	2160500	9	0	7600	57239.398	1	1
1	2000	0	37	12	3120	39	13	1855000	2	0	7220	17124.32	1	2
1	1952	0	32	12	2040	33	12	1191000	6	0	19467.4	22353.121	2	3
1	1456	0	36	17	2151	35	15	1580000	9	0	20879.102	38866.398	1	2
1	1740	0	35	12	1976	37	14	1200000	16	0	24022.842	24999.82	1	1
1	1400	0	45	17	2286	51	16	1537500	22	0	27143.02	33495.098	2	2
1	2000	0	56	12	2032	60	10	552500	26	0	9025	11220.64	1	2
1	1750	0	40	10	1680	45	4	611950	11	0	9663.0205	17165.74	2	3
1	1101	1	45	12	1560	49	14	643500	11	1	8283.2402	19487.16	1	3
1	2000	0	32	12	2895	30	12	860000	15	0	9880	15751.381	2	1
1	1877	0	45	12	1820	50	8	1199000	13	0	14171.72	33406.559	1	1
1	160	0	40	12	2450	44	12	930000	6	0	16625	27763.18	2	3
1	1886	0	38	12	1748	42	8	1196000	20	0	16884.539	22826.219	1	1
1	1446	0	49	12	1020	45	12	804200	17	0	16293.261	31666.539	1	2
1	1500	0	47	16	2342	49	17	1555000	8	0	6333.46	43810.199	1	2
1	860	0	52	13	2250	53	12	1023000	13	0	12372.04	25333.459	2	3
1	1848	0	34	13	2880	40	16	1800000	15	0	20562.941	32986.281	2	3
1	1678	0	44	12	2032	46	12	865100	14	0	8379	13178.399	2	1
1	160	0	36	16	3120	42	16	822500	14	0	15437.5	11521.979	1	2
1	108	0	50	17	1760	57	16	2058500	6	0	2463.1599	52466.602	1	2
1	1738	0	45	12	1725	47	12	1006500	24	0	20453.879	23626.121	1	3
1	1170	0	44	14	2080	46	13	460000	10	0	649.41998	16077.041	1	2
1	15	0	57	12	2040	57	10	1237550	2	0	89174.594	43586	1	2
1	2088	0	35	17	2940	42	17	2865000	9	0	36398.301	46531	1	3
1	2490	0	46	12	2280	52	12	1860000	23	0	14040.239	34999.898	1	1
1	135	2	30	14	2164	35	16	700000	12	1	8444.3594	24057.42	1	1
1	1944	0	42	12	1999	44	12	1030500	8	0	6646.1997	29654.818	1	2
1	690	0	34	12	1824	36	13	740000	16	0	4405.7197	29166.52	1	3
